Soil Moisture,Temperature,Soil Humidity,Time,Air temperature (C),Wind speed (Km/h),Air humidity (%),Wind gust (Km/h),Pressure (KPa),ph,rainfall,N,P,K,Watering Required,Risk of Disease,Soil Acidity,Acidity status,Soil Fertility,Optimal Growth Conditions,Evapotranspiration Rate,Irrigation Scheduling
14,4,51,28,19.11,4.78,28.47,25.53,101.35,6.880431223,204.8001847,61,52,41,38.49896306,50.524,0.554423329,neutral,140.5163019,35.82,-4.629,22.55994459
16,19,51,40,19.11,4.28,28.2,22.9,101.35,7.300410836,260.8875056,67,45,38,32.86249888,40.404,0.136966059,neutral,137.6897124,51.704,2.752,-2.26625168
11,9,26,104,19.1,3.78,27.92,20.26,101.36,6.587918708,295.6094492,79,42,37,26.00211016,43.974,0.861701248,neutral,146.1115431,39.08,-2.364,-39.68283476
7,17,52,17,19.1,3.28,27.65,17.63,101.36,7.283736617,192.3197536,78,43,42,54.74104928,34.054,0.154287315,neutral,150.1013844,44.964,1.517,38.80407392
56,3,64,90,19.1,2.78,27.38,15,101.37,7.023936392,257.4914906,75,54,36,-14.21229812,89.434,0.44835893,neutral,152.3832445,55.348,-5.602,-66.24744718
42,19,55,11,18.87,2.01,27.66,11.76,101.37,6.939083505,278.0791793,97,36,45,3.58616414,64.853,0.496073238,neutral,165.3573585,64.726,2.006,-18.92375379
78,41,70,62,18.64,1.25,27.93,8.51,101.37,7.868474653,280.4044392,67,47,44,-21.95988784,114.055,-0.441409594,basic,143.8920677,77.094,12.621,-81.12133176
16,37,48,48,18.48,1.41,28.11,9.76,101.36,5.005306977,185.9461429,73,35,38,56.87777142,55.123,2.415515157,acidic,133.5037149,50.206,10.631,16.21615713
87,14,21,86,18.31,1.57,28.29,11.01,101.36,6.136131869,194.5766559,77,36,37,-27.40233118,110.291,1.295508776,acidic,138.3952923,82.818,-0.859,-76.37299677
22,22,55,94,18.46,1.6,27.32,9.73,101.36,7.524080076,200.9133156,81,41,38,40.62133688,47.6,-0.07703657,basic,147.9331439,57.536,3.444,-17.27399468
77,41,47,89,18.62,1.62,26.36,8.45,101.37,5.706943251,182.9043504,68,57,43,-0.98887008,111.326,1.743192635,acidic,152.7948603,75.264,13.24,-64.37130512
45,31,65,15,18.72,2.07,25.4,12.74,101.38,5.758506323,195.3574542,72,45,35,23.80850916,73.251,1.694291732,acidic,139.6309544,68.406,8.708,0.89276374
84,39,50,21,18.81,2.52,24.45,17.02,101.38,6.349606327,223.3671883,61,53,43,-16.50843766,113.486,1.082390239,acidic,142.6447244,79.056,13.173,-49.51015649
12,3,43,34,19.04,2.4,23.14,16.62,101.38,5.999969026,186.7536773,67,43,39,45.20726454,45.86,1.430264083,acidic,136.1999783,30.032,-4.482,26.97389681
17,40,57,5,19.27,2.27,21.83,16.22,101.39,5.453592032,220.1156708,67,58,39,52.42786584,51.541,2.006565366,acidic,149.3175144,42.51,14.359,26.46529876
12,35,34,1,19.36,2.78,21.06,17.78,101.4,6.372576327,231.7364957,66,60,38,52.83470086,41.914,1.092064987,acidic,149.9608034,44.292,12.294,29.97905129
6,40,44,92,19.45,3.29,20.29,19.35,101.41,5.105588355,242.3170629,82,43,38,59.44958742,39.387,2.347444965,acidic,149.7739118,35.574,15.229,-12.69511887
21,4,48,39,19.42,3.01,20.58,15.58,101.42,5.935344406,182.6549356,84,50,44,38.29501288,50.173,1.520520611,acidic,163.4547411,33.362,-2.97,16.70351932
71,41,49,11,19.38,2.73,20.88,11.82,101.43,5.17782304,233.7034975,81,53,42,-3.5046995,99.669,2.284884105,acidic,161.0244761,67.658,15.328,-34.61104925
17,27,40,15,19.33,2.82,21.33,12.31,101.44,6.462391607,230.2242223,91,50,40,44.05615554,40.256,1.011008699,acidic,167.6236741,55,8.229,18.43273331
67,24,31,79,19.28,2.9,21.78,12.8,101.44,7.069172227,290.6793783,93,53,38,-19.66987566,83.25,0.417358298,neutral,171.0515794,77.344,6.626,-81.70381349
34,24,63,84,19.24,2.98,22.22,13.3,101.44,7.473134377,241.2013513,90,44,38,23.09372974,53.934,-0.008493063,neutral,159.6688059,61.18,6.526,-36.36040539
68,13,57,105,19.19,3.07,22.67,13.79,101.45,6.158376967,218.9163567,81,45,35,-12.08427134,87.321,1.306199391,acidic,148.9108639,67.522,0.927,-74.17490701
52,3,35,0,19.26,3,22.7,14.9,101.46,7.549873681,248.2256491,78,40,38,-6.95512982,81,-0.109073469,basic,144.0150884,49.56,-4.11,-14.46769473
80,18,24,59,19.32,2.92,22.74,16,101.46,6.028321558,256.9964761,60,51,36,-29.22129522,94.296,1.415943568,acidic,134.0198251,78.608,3.346,-74.59894283
11,11,29,7,19.6,3.24,22.42,16.63,101.46,6.604993475,194.2651719,88,46,42,48.92096562,37.252,0.851837384,neutral,162.7234954,36.788,0.07,39.22044843
63,27,26,22,19.89,3.57,22.11,17.27,101.46,6.500343222,295.9248796,93,47,37,-15.31797592,81.911,0.976839696,neutral,164.5502403,78.474,8.295,-50.77746388
88,43,58,86,20.28,3.55,22.04,17.8,101.46,5.935745417,287.5766935,60,55,45,-30.6273387,117.155,1.493756109,acidic,144.7550218,74.922,16.308,-105.273008
79,21,58,71,20.68,3.53,21.97,18.32,101.47,7.072655622,183.6222657,78,35,44,-11.81545314,91.399,0.340131103,neutral,144.6491411,80.37,5.321,-57.58667971
2,37,30,28,21.21,3.66,21.44,18.76,101.48,5.333322606,188.413665,65,37,40,72.385267,34.278,2.076319967,acidic,129.1333258,37.42,13.532,39.4759005
49,33,61,72,21.74,3.78,20.9,19.2,101.49,5.749914421,87.75953857,71,54,16,43.67809229,72.754,1.797993099,acidic,131.5249401,64.464,11.742,0.672138429
64,27,58,94,22.44,3.43,20.58,18.24,101.49,6.931756558,102.2662445,61,44,17,22.8727511,81.379,0.574428457,neutral,114.1522296,77.778,8.698,-29.67987335
71,36,25,68,23.13,3.08,20.27,17.27,101.49,6.657964753,66.71995467,80,43,16,27.57500907,94.814,0.87909905,neutral,131.2605753,72.1,13.151,-13.0159864
51,27,66,89,23.76,3.42,19.5,18.94,101.49,6.596060648,60.65171481,73,58,21,44.51965704,68.606,0.934577353,neutral,141.7172425,70.416,9.018,-1.695514443
67,26,60,25,24.4,3.77,18.73,20.6,101.5,5.970458434,65.43835393,61,38,20,27.29332921,81.191,1.504814341,acidic,110.4793209,76.73,8.889,12.86849382
12,0,63,2,25.04,4.12,17.96,22.27,101.5,6.158830619,102.0861694,68,41,16,62.19476612,41.876,1.357218486,acidic,117.1111814,22.544,-3.74,68.37414918
67,3,44,95,25.67,4.46,17.2,23.94,101.51,6.047906679,105.4654703,93,41,17,8.24690594,87.978,1.493389143,acidic,142.8335347,52.368,-1.876,-34.13964109
54,31,49,88,26.3,4.81,16.43,25.6,101.52,5.913664501,78.06639649,89,60,19,40.9577207,70.463,1.650189694,acidic,157.4395652,65.182,12.495,-9.419918947
49,33,31,86,26.94,5.15,15.66,27.27,101.52,5.855442401,65.27798457,76,44,17,49.74640309,66.555,1.672728562,acidic,128.3988097,59.998,13.862,0.416604629
24,29,34,36,27.38,6.86,14.2,33.98,101.52,5.750254943,109.2162279,67,60,25,64.39675442,38.198,1.757761193,acidic,140.1251785,49.988,12.984,37.23513163
27,18,38,21,27.83,8.57,12.75,40.68,101.52,5.852607099,94.29712821,70,44,19,59.31557436,32.651,1.656217491,acidic,123.996825,42.986,8.603,46.21086154
50,35,20,18,28.14,8.46,12.24,35.16,101.52,6.472523287,74.05474936,90,49,21,49.01705013,63.318,1.062187466,acidic,150.5307663,55.1,17.212,30.78357519
51,26,32,4,28.46,8.36,11.74,29.63,101.53,6.967057762,63.87020584,62,52,16,45.70395883,56.588,0.563521176,neutral,121.5769404,62.22,12.822,39.83893825
38,26,34,16,28.94,8.43,11.29,28.77,101.54,6.082973754,94.76189431,92,44,16,52.66062114,44.389,1.470365195,acidic,143.7580816,55.346,12.985,37.57143171
23,45,50,106,29.42,8.5,10.84,27.91,101.55,5.919045532,72.12375573,66,54,21,81.82324885,45.59,1.594366103,acidic,130.6433319,30.472,22.648,14.36287328
27,29,60,88,29.82,8.72,10.43,36.17,101.55,6.204747653,63.72358154,63,58,22,71.62628369,35.826,1.306505875,acidic,132.2433234,48.1,14.859,21.88292554
72,39,21,87,30.22,8.95,10.02,44.44,101.55,6.600827017,104.1626147,70,47,17,23.66147706,83.755,0.925715933,neutral,125.6205789,60.226,20.074,-34.74878441
89,19,38,18,30.54,8.94,9.84,34.1,101.55,6.021902237,76.68456006,61,41,17,2.211087988,84.482,1.477221022,acidic,110.8153316,72.584,10.124,-9.005368018
36,28,55,36,30.86,8.94,9.65,23.76,101.55,6.033550195,65.49730729,66,53,19,62.00553854,42.192,1.488000573,acidic,128.2234851,52.932,14.681,38.35080781
4,5,45,63,31.27,8.9,9.33,26.58,101.56,6.28886807,84.23613484,74,55,19,78.85377303,18.7,1.24782786,acidic,138.2022076,15.684,3.261,51.22915955
21,37,48,32,31.69,8.86,9.01,29.4,101.56,6.550563823,79.74078719,77,57,21,78.84884256,35.308,0.983669602,neutral,144.7853947,35.936,19.341,51.07776384
8,37,58,103,32.1,8.82,8.7,32.22,101.56,5.573286437,88.07753741,99,50,15,90.27449252,23.326,2.006622828,acidic,155.0013005,29.196,19.418,26.07673878
5,27,28,22,32.51,8.78,8.38,35.04,101.57,6.829199275,80.97573281,74,56,22,89.79085344,12.334,0.694638158,neutral,141.8804395,37.448,14.498,71.70728016
1,10,56,67,32.93,8.74,8.06,37.86,101.58,5.716222912,79.7532896,83,45,21,85.63134208,10.842,1.801875154,acidic,139.401356,18.2,6.078,53.57401312
2,40,43,36,33.34,8.7,7.74,40.68,101.58,5.54990242,74.51490791,100,48,16,100.7750184,19.45,2.020475827,acidic,154.9849317,22.452,21.158,69.64552763
63,35,30,106,33.28,10.6,7.15,39.7,101.58,6.586244581,96.46380213,79,51,16,33.06223957,68.43,0.966623895,neutral,137.4103712,57.1,19.595,-32.93914064
17,39,38,18,33.23,12.51,6.56,38.71,101.59,5.893093135,102.8301942,94,39,18,79.96596116,28.303,1.638555332,acidic,142.7251652,29.246,22.536,55.15094174
33,19,26,103,33.62,11.78,6.36,40.04,101.58,5.918263801,102.4852929,75,49,15,54.09494142,28.614,1.63186202,acidic,130.3427847,41.232,12.304,-3.24558787
21,6,67,74,34.01,11.06,6.17,41.38,101.58,5.588650585,70.43473609,78,48,22,66.06205278,28.528,1.925036153,acidic,137.8120554,22.224,5.573,32.86957917
84,29,36,41,34.36,11.19,5.97,33.88,101.58,6.576418207,108.8303762,87,54,20,6.94292476,80.937,0.969497782,neutral,151.3034927,72.538,17.185,-25.14911286
35,28,23,73,34.71,11.32,5.77,26.37,101.58,6.178056304,65.88951188,87,35,25,64.09109762,35.746,1.302181732,acidic,137.9246394,48.852,16.797,20.73314644
81,4,35,21,35.04,11.14,5.66,36.26,101.57,6.641906353,90.988051,63,43,19,1.1043898,83.562,0.854083233,neutral,116.6493344,49.8,4.758,-6.7964153
44,41,22,6,35.37,10.96,5.56,46.15,101.56,6.489040367,64.40866039,84,57,25,61.95026792,54.288,1.036458857,acidic,154.9423283,40.256,23.216,45.67740188
53,6,68,73,35.04,11.99,5.48,39.97,101.56,5.680361038,63.03843397,64,35,23,35.74831321,55.987,1.777512655,acidic,112.9762527,37.486,6.152,3.588469809
25,18,66,21,34.71,13.02,5.41,33.8,101.55,6.625404348,87.9298085,60,46,22,64.7910383,20.396,0.857790003,neutral,118.737783,35.224,12.585,50.12105745
22,28,38,40,35.13,12.66,5.28,33.56,101.55,6.524478032,107.4931917,98,44,21,68.91736166,22.618,1.007985435,neutral,154.0671346,41.692,17.48,37.75204249
57,44,44,25,35.55,12.29,5.14,33.33,101.55,5.696205468,60.95197486,75,56,18,51.26760503,67.037,1.849041337,acidic,138.8873438,43.154,25.374,24.21440754
15,25,67,57,35.55,12.45,5.13,33.11,101.54,6.803931519,109.7515385,86,55,21,74.0106923,13.915,0.737784285,neutral,152.1627521,37.114,15.941,35.57453845
33,23,25,93,35.55,12.61,5.12,32.88,101.54,6.252797548,91.76337172,98,35,18,58.61132566,28.393,1.27219683,acidic,143.3769583,44.074,15.008,4.970988484
20,25,54,28,36,11.92,4.88,47.21,101.54,6.092725883,94.26249353,76,57,18,72.18350129,18.536,1.455615402,acidic,141.0649081,39.52,15.804,49.72125194
52,13,62,105,36.46,11.23,4.64,61.54,101.54,6.234330356,71.07562236,99,56,17,38.89287553,49.179,1.344395464,acidic,162.4640312,43.466,9.6,-13.82268671
47,2,56,80,36.39,11.58,4.66,46.56,101.54,5.722579819,76.72860067,60,44,23,37.25627987,53.254,1.751724179,acidic,117.1058059,29.912,4.234,1.981419799
63,40,63,25,36.33,11.92,4.69,31.58,101.53,6.430616465,69.21803098,74,48,17,41.7493938,69.046,1.103588811,acidic,130.4014315,49.868,23.361,15.73459071
48,11,21,69,36.33,12.36,4.48,32.92,101.52,5.983952675,101.7004306,89,60,17,35.81591388,46.228,1.591024084,acidic,155.8887669,39.112,9.1,-1.01012918
15,34,31,57,36.32,12.81,4.28,34.25,101.51,6.80163854,106.6213157,69,51,23,79.39173686,20.013,0.701405252,neutral,133.161147,31.362,20.84,36.51360529
87,37,37,52,36.32,13.26,4.07,35.58,101.5,6.499936446,66.29390357,96,46,22,17.02021929,86.688,1.030258267,acidic,154.6499555,64.104,22.583,-20.88817107
30,27,70,28,36.31,13.7,3.86,36.92,101.49,6.265564338,91.26056654,61,60,15,64.08988669,26.87,1.284152485,acidic,126.485895,45.348,17.822,40.62183004
89,31,69,3,36.53,13.06,3.92,31.36,101.48,6.727303282,109.024141,74,58,18,3.5191718,83.678,0.820110353,neutral,140.4091123,71.024,19.548,-11.2072423
28,1,42,71,36.76,12.43,3.97,25.81,101.47,6.325235159,99.57981207,74,43,23,51.39303759,35.669,1.16774194,acidic,130.6276646,18.69,4.281,18.62605638
87,1,52,32,37.06,11.76,3.88,42.18,101.46,6.807487794,71.3195307,63,43,17,-1.92790614,89.148,0.699624356,neutral,115.1652415,48.252,4.04,-12.39585921
41,23,67,5,37.36,11.09,3.8,58.54,101.46,6.671085817,78.34604471,99,36,20,53.69079106,35.337,0.847204835,neutral,147.1697601,47.322,14.796,44.99618659
58,42,68,21,37.69,10.94,3.72,63.55,101.45,6.648725327,88.45361858,77,36,23,44.19327628,65.862,0.830457687,neutral,127.5541077,44.788,24.26,16.96391443
73,10,23,21,38.02,10.8,3.65,68.57,101.44,6.439071996,62.50351892,87,60,23,18.40429622,69.79,1.10340385,acidic,159.0073504,50.26,8.225,9.748944324
84,2,57,62,37.6,11.67,3.51,52.46,101.43,6.474476516,76.41312437,60,38,17,0.664375126,85.341,1.015395222,acidic,107.4321336,47.474,4.615,-25.92393731
90,19,64,55,37.17,12.54,3.38,36.36,101.42,5.871647806,107.3198135,94,54,17,-2.9779627,76.402,1.698258742,acidic,155.4101535,67.196,13.502,-37.69594405
90,44,44,30,36.66,12.84,3.75,33.37,101.41,5.730617109,100.7689246,95,38,22,10.72121508,94.962,1.779424951,acidic,145.911432,58.432,26.011,-23.23067738
29,35,34,76,36.15,13.15,4.12,30.38,101.4,5.850439831,107.2681929,84,44,21,65.81036142,33.015,1.666608569,acidic,139.5953079,37.166,21.524,12.81954213
